comment,key,en,zh-Hans,zh-Hant,ja,ko
,select_track_upgrade_error_card_title,Could not upgrade track,无法升级曲目,無法升級歌曲,更新できません,업그레이드할 수 없음
,select_track_error_card_artist,Open for details,点击查看详情,查看詳細資訊,詳細,자세히
"{0} is track.tech's full path;
{1} is the error message.",select_track_error_format,"An error occurred when loading {0}:

{1}","读取{0}时发生错误：

{1}","載入 {0} 時發生錯誤：

{1}","{0} の読み込み中にエラーが発生しました：

{1}","{0}을(를) 불러오는 중 오류가 발생했습니다.

{1}"
,select_track_upgrade_error_format,"An error occurred when upgrading {0}:

{1}","升级{0}时发生错误：

{1}","升級 {0} 時發生錯誤：

{1}","{0}の更新中にエラーが発生しました：

{1}","{0}을/를 업그레이드하는 중 오류가 발생했습니다.

{1}"
,select_track_upgrade_version_confirmation,"Some tracks are created with older versions of TECHMANIA. They will still work, but it will take longer for the select track screen to scan them.

Would you like to upgrade all tracks to the current version?

It is recommended that you backup your tracks before upgrading.","有一部分曲目是使用旧版本的TECHMANIA制作。你仍然可以游玩这些曲目，但是扫描这些曲目将需要更长时间。

是否将所有曲目升级至当前版本？

建议在备份所有曲目后再开始升级。","有一部分的歌曲是使用舊版本的 TECHMANIA 製作的。你仍然可以遊玩這些歌曲，但是掃描這些歌曲將需要更長的時間。

是否將所有歌曲升級至目前版本？

建議備份所有歌曲後再開始升級。","旧バージョンのTECHMANIAで作成されたトラックがあります。プレイはできますが、トラック選択画面のロードに遅延が発生する可能性があります。

全てのトラックを更新しますか？

更新する前にトラックのバックアップを推奨します。","이전 버전의 TECHMANIA에서 생성한 음악이 있습니다. 플레이할 수 있으나, 음악 선택 화면의 출력이 지연될 수 있습니다.

모든 패턴을 최신 버전으로 업그레이드하시겠습니까? 업그레이드하기 전에 기존 패턴 백업을 권장합니다."
,select_track_upgrade_version_confirm,UPGRADE,升级,升級,更新,업그레이드
,select_track_upgrade_version_cancel,CANCEL,取消,取消,キャンセル,취소
,select_track_upgrade_complete_message,Upgrade completed.,升级完毕。,升級完成。,更新が完了しました。,업그레이드를 완료하였습니다.
,select_track_upgrade_process_error_format,"An error occurred when upgrading tracks:

{0}","升级曲目时发生错误：

{0}","升級歌曲時發生錯誤：

{0}","トラックの更新中にエラーが発生しました:

{0}","음악 데이터를 업그레이드하는 중 오류가 발생했습니다.

{0}"
,select_track_new_track_card_title,New,新建,新增,新しいトラック,새 음악
,,,,,,
,#select-track-panel #filter-sidesheet #search-header,Search,搜索,搜尋,検索,검색
,#select-track-panel #filter-sidesheet #keyword-field #mini-label,Keyword,关键字,關鍵字,キーワード,키워드
,#select-track-panel #filter-sidesheet #options-header,Options,设置,設定,設定,정렬 옵션
,#select-track-panel #filter-sidesheet #all-folders,Show tracks in all folders,显示所有文件夹内的曲目,顯示所有資料夾內的曲目,全てのトラックを見る,모든 음악 보기
,#select-track-panel #filter-sidesheet #sort-by,Sort by,排序,排序,並べ替え,정렬 기준
,#select-track-panel #filter-sidesheet #ascending-radio #text,Ascending,升序,升冪,昇順,오름차순
,#select-track-panel #filter-sidesheet #descending-radio #text,Descending,降序,降冪,降順,내림차순
,track_filter_sidesheet_sort_basis_title,Title,标题,標題,曲名,제목
,track_filter_sidesheet_sort_basis_artist,Artist,艺术家,演出者,アーティスト,아티스트
,track_filter_sidesheet_sort_basis_genre,Genre,流派,曲風,ジャンル,장르
,track_filter_sidesheet_sort_basis_modified_time,Modified time,修改时间,修改日期,更新日時,수정한 날짜
,track_filter_sidesheet_sort_basis_touch_level,Touch level,触控谱面难度,觸控譜面難度,レベル(タッチ),레벨(터치)
,track_filter_sidesheet_sort_basis_keys_level,Keys level,键盘谱面难度,鍵盤譜面難度,レベル(キーボード),레벨(키보드)
,track_filter_sidesheet_sort_basis_km_level,KM level,键鼠谱面难度,鍵鼠譜面難度,レベル(キーボード・マウス),레벨(키보드+마우스)
Added in 2.3,#select-track-panel #filter-sidesheet #jukebox-header,Jukebox,点唱机,點唱機,ジュークボックス,주크박스
"Added in 2.3;
{0} is the number of tracks",jukebox_description_format,Auto play all {0} tracks in a random order.,以随机顺序自动演奏全部{0}首曲目。,以隨機順序自動演奏全部{0}首歌曲。,{0}個のトラックをランダムにオートプレイします。,{0}곡을 무작위로 자동 연주합니다.
Added in 2.3,#select-track-panel #filter-sidesheet #jukebox-include-subfolders,Include tracks in subfolders,包含子文件夹里的曲目,包含子資料夾裡的歌曲,サブフォルダ内のトラックを含む,하위 폴더 포함
Added in 2.3,#select-track-panel #filter-sidesheet #jukebox-start-button,START,开始,開始,スタート,게임 시작
,,,,,,
,#select-track-panel #new-track-dialog #title-field #mini-label,Title,标题,標題,曲名,제목
,#select-track-panel #new-track-dialog #artist-field #mini-label,Artist,艺术家,演出者,アーティスト,아티스트
,#select-track-panel #new-track-dialog #create-button,CREATE,新建,新增,作成,생성
,#select-track-panel #new-track-dialog #cancel-button,CANCEL,取消,取消,キャンセル,취소
{0} is a folder or file's full path.,new_track_error_format,"An error occurred when creating or writing to {0}:

{1}","写入{0}时发生错误：

{1}","儲存 {0} 時發生錯誤：

{1}","{0} の書き込み中にエラーが発生しました：

{1}","{0}을/를 생성하는 중 오류가 발생했습니다.

{1}"
,,,,,,
,#select-setlist-panel #top-bar #title,Select Setlist,选择组曲,選擇組曲,セットリスト選択,Select Setlist
"{0} is the number of setlists hidden;
{1} is the search term.",select_setlist_some_setlists_hidden_text,"{0} setlist(s) are hidden as they don't match the search term ""{1}"".",{0}首组曲不包含搜索关键字“{1}”，因而没有显示。,隱藏了 {0} 首不包含搜尋關鍵字 “{1}” 的組曲。,"キーワード""{1}""を含まないセットリスト{0}個が表示されていません。","검색어 ""{1}""을 포함하지 않는 디스크셋 {0}개가 표시되지 않았습니다."
,select_setlist_no_setlist_text,TECHMANIA cannot find any setlist in this folder.,TECHMANIA没有在此文件夹内找到任何组曲。,找不到任何組曲,このフォルダにセットリストが見つかりませんでした,디스크셋이 없습니다.
"When there's an error with a setlist,
the select setlist panel will create an ""error card"" for it,
with the title as listed here.",select_setlist_error_card_title,Could not load setlist,无法读取组曲,無法載入組曲,セットリストを読み込めません,디스크셋을 불러올 수 없습니다.
,select_setlist_upgrade_error_card_title,Could not upgrade setlist,无法升级组曲,無法升級組曲,セットリストを更新できません,업그레이드할 수 없음
,select_setlist_error_card_description,Open for details,点击查看详情,查看詳細資訊,詳細,자세히
"{0} is setlist.tech's full path;
{1} is the error message.",select_setlist_error_format,"An error occurred when loading {0}:

{1}","读取{0}时发生错误：

{1}","載入 {0} 時發生錯誤：

{1}","{0} の読み込み中にエラーが発生しました：

{1}","{0}을(를) 불러오는 중 오류가 발생했습니다.

{1}"
,select_setlist_upgrade_error_format,"An error occurred when upgrading {0}:

{1}","升级{0}时发生错误：

{1}","升級 {0} 時發生錯誤：

{1}","{0}の更新中にエラーが発生しました：

{1}","{0}을/를 업그레이드하는 중 오류가 발생했습니다.

{1}"
,select_setlist_upgrade_version_confirmation,"Some setlists are created with older versions of TECHMANIA. They will still work, but it will take longer for the select setlist screen to scan them.

Would you like to upgrade all setlists to the current version?

It is recommended that you backup your setlists before upgrading.","有一部分组曲是使用旧版本的TECHMANIA制作。你仍然可以游玩这些组曲，但是扫描这些组曲将需要更长时间。

是否将所有组曲升级至当前版本？

建议在备份所有组曲后再开始升级。","有一部分的組曲是使用舊版本的 TECHMANIA 製作的。你仍然可以遊玩這些組曲，但是掃描這些組曲將需要更長的時間。

是否將所有組曲升級至目前版本？

建議備份所有組曲後再開始升級。","旧バージョンのTECHMANIAで作成されたセットリストがあります。プレイはできますが、セットリスト選択画面のロードに遅延が発生する可能性があります。

全てのセットリストを更新しますか？

更新する前にセットリストのバックアップを推奨します。","이전 버전의 TECHMANIA에서 제작한 디스크셋이 있습니다. 플레이할 수 있으나, 디스크셋 선택 화면의 출력이 지연될 수 있습니다.

모든 디스크셋을 최신 버전으로 업그레이드하시겠습니까? 업그레이드하기 전에 기존 디스크셋 백업을 권장합니다."
,select_setlist_upgrade_version_confirm,UPGRADE,升级,升級,更新,업그레이드
,select_setlist_upgrade_version_cancel,CANCEL,取消,取消,キャンセル,취소
,select_setlist_upgrade_complete_message,Upgrade completed.,升级完毕。,升級完成。,更新が完了しました。,업그레이드를 완료하였습니다.
,select_setlist_upgrade_process_error_format,"An error occurred when upgrading setlists:

{0}","升级组曲时发生错误：

{0}","升級組曲時發生錯誤：

{1}","セットリストの更新中にエラーが発生しました:

{0}","디스크셋을 업그레이드하는 중 오류가 발생했습니다.

{0}"
,select_setlist_new_setlist_card_title,New,新建,新增,新規,새 디스크셋
,,,,,,
,#select-setlist-panel #filter-sidesheet #search-header,Search,搜索,搜尋,検索,검색
,#select-setlist-panel #filter-sidesheet #keyword-field #mini-label,Keyword,关键字,關鍵字,キーワード,키워드
,#select-setlist-panel #filter-sidesheet #options-header,Options,设置,設定,設定,정렬 옵션
,#select-setlist-panel #filter-sidesheet #all-folders,Show setlists in all folders,显示所有文件夹内的组曲,顯示所有資料夾內的組曲,フォルダ内のすべてのセットリストを表示,모든 디스크셋 보기
,#select-setlist-panel #filter-sidesheet #sort-by,Sort by,排序,排序,並べ替え,정렬 기준
,#select-setlist-panel #filter-sidesheet #ascending-radio #text,Ascending,升序,升冪,昇順,오름차순
,#select-setlist-panel #filter-sidesheet #descending-radio #text,Descending,降序,降冪,降順,내림차순
,setlist_filter_sidesheet_sort_basis_title,Title,标题,標題,曲名,제목
,setlist_filter_sidesheet_sort_basis_modified_time,Modified time,修改时间,修改日期,更新日時,수정한 날짜
,setlist_filter_sidesheet_sort_basis_level,Level,难度,難度,レベル,레벨
,,,,,,
,#select-setlist-panel #new-setlist-dialog #title-field #mini-label,Title,标题,標題,曲名,제목
,#select-setlist-panel #new-setlist-dialog #create-button,CREATE,新建,新增,作成,생성
,#select-setlist-panel #new-setlist-dialog #cancel-button,CANCEL,取消,取消,キャンセル,취소
{0} is a folder or file's full path.,new_setlist_error_format,"An error occurred when creating or writing to {0}:

{1}","写入{0}时发生错误：

{1}","儲存 {0} 時發生錯誤：

{1}","{0} の書き込み中にエラーが発生しました：

{1}","{0}을/를 생성하는 중 오류가 발생했습니다.

{1}"
,,,,,,
,#setup-setlist-panel #top-bar #title,Setup Setlist,配置组曲,設定組曲,セットリスト構成,Setup Setlist
,#setup-setlist-panel #setup-setlist #drag-indicator #instruction,Drag to select 3 patterns,选择3个谱面拖拽至下方,選擇 3 個譜面拖曳至下方,ドラッグして3個のパターンを選択,이미지를 드래그하여 패턴 3개를 선택하십시오
,#setup-setlist-panel #setup-setlist #record #title,My record,最高纪录,最高紀錄,自分の記録,나의 기록
,#setup-setlist-panel #setup-setlist #modifier-display #title,Modifiers,游戏选项,遊戲選項,モディファイア,옵션
,#setup-setlist-panel #setup-setlist #modifiers-button,MODIFIERS,游戏选项,遊戲選項,モディファイア,플레이 옵션
,#setup-setlist-panel #setup-setlist #play-button,PLAY,开始,開始,プレイ,시작
,#setup-setlist-panel #missing-pattern-warning #missing-pattern-label,The following patterns are not found on your device:,在设备上没有找到以下谱面：,找不到以下譜面：,下のパターンが見つかりませんでした：,아래 패턴을 찾을 수 없습니다.
,#setup-setlist-panel #missing-pattern-warning #continue-playing-label,"Click ""Continue"" to play the setlist with the available patterns.",点击“继续”可以以现有的谱面继续游玩此组曲。,點擊“繼續”可以使用現有譜面繼續遊玩這個組曲,プレイ可能なパターンのみをプレイするには「続行」をクリックしてください。,"남은 패턴으로 디스크셋을 플레이하려면 ""계속""을 누르십시오."
,#setup-setlist-panel #missing-pattern-warning #continue-button,CONTINUE,继续,繼續,続行,계속
,#setup-setlist-panel #missing-pattern-warning #not-enough-patterns-label,There are not enough available patterns to play this setlist.,谱面数量不足，无法游玩此组曲。,譜面數量不足，無法遊玩這個組曲,このセットリストをプレイするためのパターンが不足しています。,플레이 가능한 패턴이 부족하여 디스크셋을 플레이할 수 없습니다.
,,,,,,
,#select-pattern-panel #top-bar #title,Select Pattern,选择谱面,選擇譜面,パターン選択,패턴 선택
,#select-pattern-panel #pattern-list #no-pattern-text,This track does not contain any pattern.,本曲目不包含任何谱面。,本歌曲不包含任何譜面,このトラックにはパターンがありません。,이 음악에는 패턴이 없습니다.
,#select-pattern-panel #bpm #title,BPM,BPM,BPM,BPM,템포
,#select-pattern-panel #length #title,Length,长度,長度,長さ,재생 시간
,#select-pattern-panel #notes #title,Notes,音符数,音符數,ノート数,노트 수
,#select-pattern-panel #radar #density #name,DENSITY,密度,密度,密度,평균 밀도
,#select-pattern-panel #radar #peak #name,PEAK,峰值,峰值,ピーク値,최고 밀도
,#select-pattern-panel #radar #speed #name,SPEED,速度,速度,速さ,빠르기
,#select-pattern-panel #radar #chaos #name,CHAOS,混乱,混亂度,混乱度,복잡도
,#select-pattern-panel #radar #async #name,ASYNC,异地,異步,非同期,비동기 터치
,#select-pattern-panel #author #title,Author,作者,作者,投稿者,작성자
,#select-pattern-panel #record #title,My record,最高纪录,最高紀錄,自分の記録,나의 기록
,#select-pattern-panel #modifier-display #title,Modifiers,游戏选项,遊戲選項,モディファイア,옵션
"Shown when all modifiers are set to ""normal"".",select_pattern_modifier_none,(none),（无）,(無),(なし),(없음)
,#select-pattern-panel #modifiers-button,MODIFIERS,游戏选项,遊戲選項,モディファイア,플레이 옵션
,#select-pattern-panel #play-button,PLAY,开始,開始,プレイ,시작
,,,,,,
,#modifier-sidesheet #modifiers-header,Modifiers,游戏选项,遊戲選項,モディファイア,플레이 옵션
,#modifier-sidesheet #note-opacity #label,Note opacity,音符透明度,音符透明度,ノート透明度,노트 이펙터
,#modifier-sidesheet #scanline-opacity #label,Scanline opacity,扫描线透明度,掃描線透明度,スキャンライン透明度,타임라인 이펙터
,#modifier-sidesheet #scan-direction #label,Scan direction,扫描方向,掃描方向,スキャン方向,스크롤 방향
,#modifier-sidesheet #note-position #label,Note position,音符位置,音符位置,ノート位置,노트 배치
,#modifier-sidesheet #scan-position #label,Scan position,扫描位置,掃描位置,スキャン位置,마디 배치
,#modifier-sidesheet #fever #label,Fever,Fever,Fever,Fever,피버
,#modifier-sidesheet #keysound #label,Keysound,按键音,按鍵音,ノート音,연주음
,#modifier-sidesheet #assist-tick #label,Assist tick,辅助音效,輔助音效,打撃音,클릭음
,#modifier-sidesheet #sudden-death #label,Sudden death,即死,即死,サドンデス,서든데스
,#modifier-sidesheet #appearance-header,Appearance,界面,介面,表示,화면 표시
,#modifier-sidesheet #skins #label,Skins,皮肤,造型,スキン,스킨
,#modifier-sidesheet #skins #select-button,SELECT,选择,選擇,選択,선택
,#modifier-sidesheet #judgement-tally #label,Show judgement tally,显示判定统计,顯示判定統計,リアルタイム判定表示,실시간 판정 보기
,#modifier-sidesheet #bg-brightness #label,BG brightness,背景亮度,背景亮度,背景の明るさ,BGA 밝기
,#modifier-sidesheet #no-video #label,No video,不播放视频,不播放影片,BGAオフ,BGA 끄기
,#modifier-sidesheet #special-modifiers #header,Special Modifiers,特殊选项,特殊選項,特殊モディファイア,기타 옵션
,#modifier-sidesheet #special-modifiers #warning,Warning: these options will invalidate your score.,警告：这些选项会导致你的成绩无效。,警告：這些選項會使成績無效,注意：このオプションを有効にするとスコアが無効になります。,주의: 아래 옵션을 사용하면 스코어를 등록할 수 없습니다.
,#modifier-sidesheet #mode #label,Mode,模式,模式,モード,모드
,#modifier-sidesheet #control-override #label,Control override,操作方式,操作方式,プレイ方式,입력 방식
,#modifier-sidesheet #scroll-speed #label,Scroll speed,扫描速度,掃描速度,スクロール速度,스크롤 속도
,,,,,,
,modifier_normal,Normal,正常,正常,ノーマル,기본
,modifier_none,None,无,無,なし,없음
,modifier_fade_out,Fade out,淡出,淡出,FADE OUT,FADE OUT
,modifier_fade_out_2,Fade out 2,淡出II,淡出II,FADE OUT 2,FADE OUT 2
,modifier_fade_in,Fade in,淡入,淡入,FADE IN,FADE IN
,modifier_fade_in_2,Fade in 2,淡入II,淡入II,FADE IN 2,FADE IN 2
,modifier_blink,Blink,闪烁,閃爍,BLINK,BLINK
,modifier_blink_2,Blink 2,闪烁II,閃爍II,BLINK 2,BLINK 2
,modifier_blind,Blind,隐藏扫描线,隱藏掃描線,BLIND,BLIND
,modifier_right_right,Right - Right,右 - 右,右 - 右,右 - 右,오른쪽
,modifier_left_right,Left - Right,左 - 右,左 - 右,左 - 右,역방향
,modifier_left_left,Left - Left,左 - 左,左 - 左,左 - 左,왼쪽
,modifier_mirror,Mirror,镜像,鏡像,MIRROR,MIRROR
,modifier_swap,Swap,调换,調換,反転,반전
,modifier_fever_off,Fever off,关闭Fever,關閉 Fever,Fever オフ,끄기
,modifier_auto_fever,Auto Fever,自动Fever,自動 Fever,オート Fever,자동
,modifier_auto_keysound,Auto keysound,自动按键音,自動按鍵音,オートノート音,자동 재생
,modifier_assist_tick,Assist tick,辅助音效,輔助音效,打撃音,수동
,modifier_auto_assist_tick,Auto assist tick,自动辅助音效,自動輔助音效,オート打撃音,자동
,modifier_sudden_death,Sudden death,即死,即死,サドンデス,서든데스
,modifier_no_video,No video,不播放视频,不播放影片,BGAオフ,BGA 끄기
,modifier_no_fail,No fail,无失败,無失敗,No Fail,게임오버 없음
,modifier_auto_play,Auto play,自动演奏,自動演奏,オートプレイ,자동 연주
,modifier_practice,Practice,练习,練習,練習,연습 모드
,modifier_override_to_touch,Override to Touch,强制使用触控,強制使用觸控,タッチで操作,터치
,modifier_override_to_keys,Override to Keys,强制使用键盘,強制使用鍵盤,キーボードで操作,키보드
,modifier_override_to_km,Override to KM,强制使用键鼠,強制使用鍵鼠,キーボード・マウスで操作,키보드+마우스
,modifier_half_speed,Half speed,半速,半速,0.5x,0.5x
,modifier_shifted_half_speed,Shifted half speed,半速+偏移,半速 + 偏移,0.5x(シフト),0.5x(마디 당기기)
,,,,,,
Shown behind the HP bar when no fail is active.,#game-panel #top-bar #no-fail-indicator,No fail,无失败,No fail,No fail,No fail
,#game-panel #top-bar #score-label,Score,分数,SCORE,SCORE,SCORE
,#game-panel #top-bar #max-combo-label,Max Combo,最大连击,MAX COMBO,MAX COMBO,MAX COMBO
,#game-panel #top-bar #fever-bar-wrap #fever-off-text,FEVER OFF,FEVER OFF,FEVER OFF,FEVER OFF,FEVER OFF
,#game-panel #top-bar #fever-bar-wrap #fever-ready-text,FEVER,FEVER,FEVER,FEVER,FEVER
,#game-panel #top-bar #fever-bar-wrap #fever-instruction-touch,TOUCH,轻触,TOUCH,TOUCH,TOUCH
,#game-panel #top-bar #fever-bar-wrap #fever-instruction-keys-km,PRESS SPACE,空格,PRESS SPACE,PRESS SPACE,PRESS SPACE
,#game-panel #middle-fever-bar-bg #fever-ready-text,FEVER,FEVER,FEVER,FEVER,FEVER
,game_panel_fever_bonus_format,FEVER BONUS   +{0},FEVER奖励    +{0},FEVER BONUS   +{0},FEVER BONUS   +{0},FEVER BONUS   +{0}
,#game-panel #loading-bar #label,Loading...,正在读取……,載入中......,読み込み中...,Loading...
,#game-panel #stage-failed-panel #stage-failed,STAGE FAILED,请再接再厉,STAGE FAILED,STAGE FAILED,STAGE FAILED
,,,,,,
,#game-panel #practice-top-bar #scan-number #label,Scan,扫描,掃描,スキャン,마디
,#game-panel #practice-top-bar #loop-control #label,Loop,循环,循環,ループ,구간 반복
,#game-panel #practice-top-bar #speed-control #label,Speed,速度,速度,速度,재생 속도
,#game-panel #practice-top-bar #auto-play-wrap #label,Auto play,自动演奏,自動演奏,オートプレイ,자동 연주
,#game-panel #practice-top-bar #show-hitbox-wrap #label,Show hitbox,显示操作范围,顯示操作範圍,ヒットボックスを表示,판정 영역 보이기
,,,,,,
Added in 2.3,#game-panel #jukebox-top-bar #track-number-display #label,Track,曲目,歌曲,トラック,재생 순서
,,,,,,
,#game-panel #pause-menu #title,PAUSE,暂停,暫停,PAUSE,PAUSE
,#game-panel #pause-menu #resume-button,CONTINUE,继续,繼續,CONTINUE,CONTINUE
,#game-panel #pause-menu #restart-button,RESTART,重试,再試一次,RESTART,RESTART
,#game-panel #pause-menu #select-track-button,SELECT TRACK,选曲,選擇歌曲,SELECT MUSIC,SELECT MUSIC
,#game-panel #pause-menu #restart-setlist-button,RESTART SETLIST,重新开始组曲,重新開始組曲,RESTART SETLIST,RESTART SETLIST
,#game-panel #pause-menu #select-setlist-button,SELECT SETLIST,选择组曲,選擇組曲,SELECT SETLIST,SELECT SETLIST
,#game-panel #pause-menu #bg-brightness-wrap #label,BG brightness,背景亮度,背景亮度,背景の明るさ,BGA 밝기
,#game-panel #pause-menu #master #label,Master,主音量,主音量,マスター,마스터 볼륨
,#game-panel #pause-menu #music #label,Music,音乐音量,音樂音量,音楽,반주음
,#game-panel #pause-menu #keysounds #label,Keysounds,按键音音量,按鍵音音量,ノート音,연주음
,#game-panel #pause-menu #sound-effects #label,Sound effects,音效音量,音效音量,効果音,효과음
,,,,,,
,result_panel_stage_clear_title,Stage Clear,挑战成功,STAGE CLEARED,Stage Clear,STAGE CLEARED
,result_panel_stage_failed_title,Stage Failed,挑战失败,STAGE FAILED,Stage Failed,STAGE FAILED
,#result-panel #judgement-tally #labels #rainbow-max,Rainbow Max,Rainbow Max,RAINBOW MAX,Rainbow Max,RAINBOW MAX
,#result-panel #judgement-tally #labels #max,Max,Max,MAX,Max,MAX
,#result-panel #judgement-tally #labels #cool,Cool,Cool,COOL,Cool,COOL
,#result-panel #judgement-tally #labels #good,Good,Good,GOOD,Good,GOOD
,#result-panel #judgement-tally #labels #miss,Miss,Miss,MISS,Miss,MISS
,#result-panel #judgement-tally #labels #break,Break,Break,BREAK,Break,BREAK
,#result-panel #judgement-tally #labels #max-combo,Max Combo,最大连击,MAX COMBO,Max Combo,MAX COMBO
,#result-panel #judgement-tally #labels #fever-bonus,Fever Bonus,Fever奖励,FEVER BONUS,Fever Bonus,FEVER BONUS
,#result-panel #judgement-tally #labels #combo-bonus,Combo Bonus,连击奖励,COMBO BONUS,Combo Bonus,COMBO BONUS
,#result-panel #total-score #title,Score,总分,SCORE,スコア,SCORE
,#result-panel #rank #title,Rank,等级,YOUR RANK,ランク,YOUR RANK
,#result-panel #my-record #title,My record,最高纪录,最高紀錄,記録,나의 기록
,#result-panel #my-record #new-record-indicator,NEW RECORD,新纪录,新紀錄,NEW RECORD,NEW RECORD
,#result-panel #ruleset #title,Ruleset,规则,規則,ルールセット,규칙
Added in 2.3,#result-panel #performance-graph #early-label,Early,过早,EARLY,EARLY,EARLY
Added in 2.3,#result-panel #performance-graph #late-label,Late,过晚,LATE,LATE,LATE
,#result-panel #modifiers #title,Modifiers,游戏选项,遊戲選項,モディファイア,옵션
,#result-panel #retry-button,RETRY,重试,重新開始,リトライ,RETRY
,#result-panel #select-track-button,SELECT TRACK,选曲,選擇歌曲,トラック選択,SELECT MUSIC
,#result-panel #legacy-override-indicator,*Pattern contains legacy ruleset override,*谱面包含对经典规则的修改,*譜面包含對經典規則的修改,*レガシールールセットを使用中,* 레거시 규칙 사용 중
,,,,,,
,setlist_result_panel_all_clear_title,All Cleared,挑战成功,挑戰成功,All Cleared,All Cleared
,setlist_result_panel_failed_title,Setlist Failed,挑战失败,挑戰失敗,Setlist Failed,Setlist Failed
,#setlist-result-panel #total-score #title,Total score,总分,總分,スコア合計,Total score
,#setlist-result-panel #rank #title,Rank,等级,YOUR RANK,ランク,YOUR RANK
,#setlist-result-panel #max-combo #title,Max combo,最大连击,MAX COMBO,最大コンボ,MAX COMBO
,#setlist-result-panel #my-record #title,My record,最高纪录,最高紀錄,記録,나의 기록
,#setlist-result-panel #my-record #new-record-indicator,NEW RECORD,新纪录,新紀錄,NEW RECORD,NEW RECORD
